2022-08-24T14:06:12.827,FD,16, 0, 0,7F, 1, 1,    C1,mavlink_ekf_status_report_t,velocity_variance,0,pos_horiz_variance,0,pos_vert_variance,0,compass_variance,0,terrain_alt_variance,0,flags,1024,airspeed_variance,0,,sig ,Len,34,crc16,35738
2022-08-24T14:06:12.833,FD,14, 0, 0,80, 1, 1,    F1,mavlink_vibration_t,time_usec,7819641702,vibration_x,0,0154304,vibration_y,0,0172126,vibration_z,0,02079385,clipping_0,0,clipping_1,0,clipping_2,0,,sig ,Len,32,crc16,28657
2022-08-24T14:06:12.843,FD,32, 0, 0,81, 1, 1,    57,mavlink_position_target_global_int_t,time_boot_ms,7819641,lat_int,0,lon_int,0,alt,100,vx,0,vy,0,vz,0,afx,0,afy,0,afz,0,yaw,0,yaw_rate,0,type_mask,65016,coordinate_frame,0,,sig ,Len,62,crc16,2843
2022-08-24T14:06:12.846,FD, 4, 0, 0,82, 1, 1,  2B0C,mavlink_aoa_ssa_t,time_usec,3524674447,AOA,0,SSA,0,,sig ,Len,16,crc16,8785
2022-08-24T14:06:13.743,FD, 9, 0, 0,84, 1, 1,     0,mavlink_heartbeat_t,custom_mode,11,type,1,autopilot,3,base_mode,89,system_status,5,mavlink_version,3,,sig ,Len,21,crc16,48297
2022-08-24T14:06:13.754,FD,1C, 0, 0,85, 1, 1,    1E,mavlink_attitude_t,time_boot_ms,7820661,roll,-0,0232367,pitch,-0,01161985,yaw,-2,398575,rollspeed,0,001861445,pitchspeed,-0,0003871935,yawspeed,-0,0009323946,,sig ,Len,40,crc16,7347
2022-08-24T14:06:13.757,FD,1C, 0, 0,86, 1, 1,    21,mavlink_global_position_int_t,time_boot_ms,7820661,lat,0,lon,0,alt,-1780,relative_alt,-1780,vx,0,vy,0,vz,0,hdg,22258,,sig ,Len,40,crc16,32786
2022-08-24T14:06:13.764,FD,1F, 0, 0,87, 1, 1,     1,mavlink_sys_status_t,onboard_control_sensors_present,325188655,onboard_control_sensors_enabled,272759855,onboard_control_sensors_health,51444751,load,20,voltage_battery,0,current_battery,-1,drop_rate_comm,0,errors_comm,0,errors_count1,0,errors_count2,0,errors_count3,0,errors_count4,0,battery_remaining,-1,,sig ,Len,43,crc16,10439
2022-08-24T14:06:13.767,FD, 2, 0, 0,88, 1, 1,    7D,mavlink_power_status_t,Vcc,5046,Vservo,0,flags,0,,sig ,Len,14,crc16,21390
2022-08-24T14:06:13.770,FD, 7, 0, 0,89, 1, 1,    98,mavlink_meminfo_t,brkval,0,freemem,65535,freemem32,571712,,sig ,Len,19,crc16,40771
2022-08-24T14:06:13.774,FD, C, 0, 0,8A, 1, 1,    3E,mavlink_nav_controller_output_t,nav_roll,0,nav_pitch,0,alt_error,101,79,aspd_error,0,xtrack_error,0,nav_bearing,0,target_bearing,0,wp_dist,0,,sig ,Len,24,crc16,41458
2022-08-24T14:06:13.776,FD, 1, 0, 0,8B, 1, 1,    2A,mavlink_mission_current_t,seq,0,,sig ,Len,13,crc16,42014
2022-08-24T14:06:13.781,FD,11, 0, 0,8C, 1, 1,    4A,mavlink_vfr_hud_t,airspeed,0,groundspeed,0,alt,-1,78,climb,0,heading,222,throttle,0,,sig ,Len,29,crc16,62683
2022-08-24T14:06:13.786,FD, C, 0, 0,8D, 1, 1,    24,mavlink_servo_output_raw_t,time_usec,3525694201,servo1_raw,1508,servo2_raw,1504,servo3_raw,1100,servo4_raw,1504,servo5_raw,0,servo6_raw,0,servo7_raw,0,servo8_raw,0,port,0,servo9_raw,0,servo10_raw,0,servo11_raw,0,servo12_raw,0,servo13_raw,0,servo14_raw,0,servo15_raw,0,servo16_raw,0,,sig ,Len,24,crc16,9977
2022-08-24T14:06:13.795,FD,2A, 0, 0,8E, 1, 1,    41,mavlink_rc_channels_t,time_boot_ms,7820661,chan1_raw,1500,chan2_raw,1500,chan3_raw,0,chan4_raw,1500,chan5_raw,0,chan6_raw,0,chan7_raw,0,chan8_raw,0,chan9_raw,0,chan10_raw,0,chan11_raw,0,chan12_raw,0,chan13_raw,0,chan14_raw,0,chan15_raw,0,chan16_raw,0,chan17_raw,0,chan18_raw,0,chancount,0,rssi,255,,sig ,Len,54,crc16,10466
2022-08-24T14:06:13.802,FD,1D, 0, 0,8F, 1, 1,    1B,mavlink_raw_imu_t,time_usec,7820661531,xacc,6,yacc,12,zacc,-994,xgyro,2,ygyro,0,zgyro,0,xmag,234,ymag,-252,zmag,505,id,0,temperature,5033,,sig ,Len,41,crc16,5059
